step,time,block_x,block_y,block_z,block_vx,block_vy,block_vz,contacts,fx,fy,fz
64000,6.400000,0.000653,-77.160745,-66.499807,0.000157,-39.220927,-15.799788,0,0.0000,0.0000,0.0000
65000,6.500000,0.000669,-81.131937,-68.079786,0.000157,-40.201927,-15.799788,0,0.0000,0.0000,0.0000
66000,6.600000,0.000685,-85.201229,-69.659765,0.000157,-41.182927,-15.799788,0,0.0000,0.0000,0.0000
67000,6.700000,0.000701,-89.368620,-71.239744,0.000157,-42.163927,-15.799788,0,0.0000,0.0000,0.0000
68000,6.800000,0.000716,-93.634112,-72.819722,0.000157,-43.144927,-15.799788,0,0.0000,0.0000,0.0000
69000,6.900000,0.000732,-97.997704,-74.399701,0.000157,-44.125927,-15.799788,0,0.0000,0.0000,0.0000
70000,7.000000,0.000748,-102.459396,-75.979680,0.000157,-45.106927,-15.799788,0,0.0000,0.0000,0.0000
71000,7.100000,0.000763,-107.019187,-77.559659,0.000157,-46.087927,-15.799788,0,0.0000,0.0000,0.0000
72000,7.200000,0.000779,-111.677079,-79.139638,0.000157,-47.068927,-15.799788,0,0.0000,0.0000,0.0000
73000,7.300000,0.000795,-116.433071,-80.719617,0.000157,-48.049927,-15.799788,0,0.0000,0.0000,0.0000
74000,7.400000,0.000811,-121.287163,-82.299595,0.000157,-49.030927,-15.799788,0,0.0000,0.0000,0.0000
75000,7.500000,0.000826,-126.239354,-83.879574,0.000157,-50.011927,-15.799788,0,0.0000,0.0000,0.0000
76000,7.600000,0.000842,-131.289646,-85.459553,0.000157,-50.992927,-15.799788,0,0.0000,0.0000,0.0000
77000,7.700000,0.000858,-136.438038,-87.039532,0.000157,-51.973927,-15.799788,0,0.0000,0.0000,0.0000
78000,7.800000,0.000873,-141.684530,-88.619511,0.000157,-52.954927,-15.799788,0,0.0000,0.0000,0.0000
79000,7.900000,0.000889,-147.029122,-90.199490,0.000157,-53.935927,-15.799788,0,0.0000,0.0000,0.0000
80000,8.000000,0.000905,-152.471813,-91.779468,0.000157,-54.916927,-15.799788,0,0.0000,0.0000,0.0000
81000,8.100000,0.000921,-158.012605,-93.359447,0.000157,-55.897927,-15.799788,0,0.0000,0.0000,0.0000
82000,8.200000,0.000936,-163.651497,-94.939426,0.000157,-56.878927,-15.799788,0,0.0000,0.0000,0.0000
83000,8.300000,0.000952,-169.388489,-96.519405,0.000157,-57.859927,-15.799788,0,0.0000,0.0000,0.0000
84000,8.400000,0.000968,-175.223580,-98.099384,0.000157,-58.840927,-15.799788,0,0.0000,0.0000,0.0000
85000,8.500000,0.000984,-181.156772,-99.679363,0.000157,-59.821927,-15.799788,0,0.0000,0.0000,0.0000
86000,8.600000,0.000999,-187.188064,-101.259342,0.000157,-60.802927,-15.799788,0,0.0000,0.0000,0.0000
87000,8.700000,0.001015,-193.317456,-102.839320,0.000157,-61.783927,-15.799788,0,0.0000,0.0000,0.0000
88000,8.800000,0.001031,-199.544947,-104.419299,0.000157,-62.764927,-15.799788,0,0.0000,0.0000,0.0000
89000,8.900000,0.001046,-205.870539,-105.999278,0.000157,-63.745927,-15.799788,0,0.0000,0.0000,0.0000
90000,9.000000,0.001062,-212.294231,-107.579257,0.000157,-64.726927,-15.799788,0,0.0000,0.0000,0.0000
91000,9.100000,0.001078,-218.816023,-109.159236,0.000157,-65.707927,-15.799788,0,0.0000,0.0000,0.0000
92000,9.200000,0.001094,-225.435915,-110.739215,0.000157,-66.688927,-15.799788,0,0.0000,0.0000,0.0000
93000,9.300000,0.001109,-232.153906,-112.319193,0.000157,-67.669927,-15.799788,0,0.0000,0.0000,0.0000
94000,9.400000,0.001125,-238.969998,-113.899172,0.000157,-68.650927,-15.799788,0,0.0000,0.0000,0.0000
95000,9.500000,0.001141,-245.884190,-115.479151,0.000157,-69.631927,-15.799788,0,0.0000,0.0000,0.0000
96000,9.600000,0.001156,-252.896482,-117.059130,0.000157,-70.612927,-15.799788,0,0.0000,0.0000,0.0000
97000,9.700000,0.001172,-260.006873,-118.639109,0.000157,-71.593927,-15.799788,0,0.0000,0.0000,0.0000
98000,9.800000,0.001188,-267.215365,-120.219088,0.000157,-72.574927,-15.799788,0,0.0000,0.0000,0.0000
99000,9.900000,0.001204,-274.521957,-121.799067,0.000157,-73.555927,-15.799788,0,0.0000,0.0000,0.0000
100000,10.000000,0.001219,-281.926649,-123.379045,0.000157,-74.536927,-15.799788,0,0.0000,0.0000,0.0000
